PROYECTO PEPI - ACUEDUCTO DE TADO (CHOCO) - cifras COP MM

DISENO DE CAUDAL (Res 0330/2017)
Poblacion municipio CNPV 2018,17000
Poblacion urbana base,10957
Poblacion de diseno (+25 anios),14764
Dotacion neta (L/hab.dia),140.0
Dotacion bruta (L/hab.dia),186.7
Qmd (L/s),31.9
QMD (L/s),41.47
QMH (L/s),66.35
Capacidad PTAP (L/s),45.0

CAPEX por capitulos (COP MM)
Captacion (bocatoma) y linea de aduccion,2400.0
PTAP 45 L/s (obra civil + equipos),6300.0
Almacenamiento (tanques) y estaciones de bombeo,2800.0
"Redes de distribucion, conexiones y micromedicion",4200.0
Optimizacion del alcantarillado (componente asociado),2471.0
"Estudios, disenios, interventoria y gestion ambiental",1800.0
TOTAL CAPEX,19971.0

FLUJOS DE CAJA (COP MM)
Anio,Ingresos,OPEX,EBITDA,Depreciacion,Intereses,Amortizacion,Saldo_deuda,FC_Proyecto,FC_Inversionista,FC_Banco,Beneficio_social,FC_Social
0,,,,,,,1997.1,-19971.0,-1997.1,1997.1,,-19971.0
1,1500.0,1150.0,350.0,798.8,219.7,119.4,1877.7,350.0,10.9,-339.1,4150.0,3000.0
2,1552.5,1190.2,362.2,798.8,206.5,132.6,1745.1,362.2,23.1,-339.1,4295.2,3105.0
3,1606.8,1231.9,374.9,798.8,192.0,147.1,1598.0,374.9,35.8,-339.1,4445.6,3213.7
4,1663.1,1275.0,388.1,798.8,175.8,163.3,1434.6,388.1,48.9,-339.1,4601.2,3326.2
5,1721.3,1319.7,401.6,798.8,157.8,181.3,1253.3,401.6,62.5,-339.1,4762.2,3442.6
6,1781.5,1365.8,415.7,798.8,137.9,201.2,1052.1,415.7,76.6,-339.1,4928.9,3563.1
7,1843.9,1413.6,430.2,798.8,115.7,223.4,828.7,430.2,91.1,-339.1,5101.4,3687.8
8,1908.4,1463.1,445.3,798.8,91.2,248.0,580.7,445.3,106.2,-339.1,5280.0,3816.8
9,1975.2,1514.3,460.9,798.8,63.9,275.2,305.5,460.9,121.8,-339.1,5464.8,3950.4
10,2044.3,1567.3,477.0,798.8,33.6,305.5,0.0,477.0,137.9,-339.1,5656.0,4088.7
11,2115.9,1622.2,493.7,798.8,0.0,0.0,0.0,493.7,493.7,-0.0,5854.0,4231.8
12,2190.0,1679.0,511.0,798.8,0.0,0.0,0.0,511.0,511.0,-0.0,6058.9,4379.9
13,2266.6,1737.7,528.9,798.8,0.0,0.0,0.0,528.9,528.9,-0.0,6270.9,4533.2
14,2345.9,1798.5,547.4,798.8,0.0,0.0,0.0,547.4,547.4,-0.0,6490.4,4691.9
15,2428.0,1861.5,566.5,798.8,0.0,0.0,0.0,566.5,566.5,-0.0,6717.6,4856.1
16,2513.0,1926.7,586.4,798.8,0.0,0.0,0.0,586.4,586.4,-0.0,6952.7,5026.0
17,2601.0,1994.1,606.9,798.8,0.0,0.0,0.0,606.9,606.9,-0.0,7196.0,5202.0
18,2692.0,2063.9,628.1,798.8,0.0,0.0,0.0,628.1,628.1,-0.0,7447.9,5384.0
19,2786.2,2136.1,650.1,798.8,0.0,0.0,0.0,650.1,650.1,-0.0,7708.6,5572.5
20,2883.8,2210.9,672.9,798.8,0.0,0.0,0.0,672.9,672.9,-0.0,7978.4,5767.5
21,2984.7,2288.3,696.4,798.8,0.0,0.0,0.0,696.4,696.4,-0.0,8257.6,5969.4
22,3089.1,2368.3,720.8,798.8,0.0,0.0,0.0,720.8,720.8,-0.0,8546.6,6178.3
23,3197.3,2451.2,746.0,798.8,0.0,0.0,0.0,746.0,746.0,-0.0,8845.8,6394.5
24,3309.2,2537.0,772.1,798.8,0.0,0.0,0.0,772.1,772.1,-0.0,9155.4,6618.3
25,3425.0,2625.8,799.2,798.8,0.0,0.0,0.0,799.1,799.1,-0.0,9475.8,6850.0

INDICADORES
WACC,0.0931
VPN_Proyecto,-15486.8
TIR_Proyecto,-0.0245
VPN_Inversionista,-730.3
TIR_Inversionista,0.1046
VPN_Social_@9%,19625.7
Relacion_Beneficio_Costo,1.558

SENSIBILIDAD aporte publico -> TIR inversionista
0%,-0.054
40%,-0.0146
60%,0.0218
70%,0.052
80%,0.1046
90%,0.2518
